,name,films,tv_shows,short_films,allies,enemies,park_attractions,films_count,tv_shows_count,short_films_count,park_attractions_count,enemies_count,allies_count
3967,Shere Khan,"['The Jungle Book', 'The Jungle Book 2', ""Rudyard Kipling's The Jungle Book"", ""The Jungle Book: Mowgli's Story"", 'Once Upon a Halloween', 'The Jungle Book (2016 film)']","['TaleSpin', 'Bonkers', 'Jungle Cubs', 'House of Mouse', 'Walt Disney anthology series']",,,,['World of Color'],6,5,0,1,0,0
3968,Kiara,"['The Lion King', ""The Lion King II: Simba's Pride"", 'The Lion Guard: Return of the Roar', 'The Lion King (2019 film)']",['The Lion Guard'],,,,,4,1,0,0,0,0
3969,Kilala Reno,,,,,,,0,0,0,0,0,0
3970,King,,"['The Owl House', 'Big City Greens']",,,,,0,2,0,0,0,0
3971,King of Sherblorg 7,,['Wander Over Yonder'],,,,,0,1,0,0,0,0
3972,King Runeard,['Frozen II'],,,,,,1,0,0,0,0,0
3973,Koda,"['Brother Bear', 'Brother Bear 2', 'Ralph Breaks the Internet']",['A Poem Is...'],,,,,3,1,0,0,0,0
3974,Kojak,"[""Recess: School's Out""]",,,,,,1,0,0,0,0,0
3975,Queen La,,['The Legend of Tarzan'],,,,,0,1,0,0,0,0
3976,Lau Xing,['Around the World in 80 Days'],,,,,,1,0,0,0,0,0
3977,Le Sewer and Ratatouille,,"[""Chip 'n Dale Rescue Rangers""]",,,,,0,1,0,0,0,0
3978,Leah,,['Jungle Cubs'],,,,,0,1,0,0,0,0
3979,Leopold the Horrible,,['Legend of the Three Caballeros'],,,,,0,1,0,0,0,0
3980,Dr. Horton Letrek,,['Quack Pack'],,,,,0,1,0,0,0,0
3981,Li Shang,"['Mulan', 'Mulan II', 'Descendants']","['House of Mouse', 'A Poem Is...']",,,,"['Fantasmic!', 'The Golden Mickeys', 'Disney in the Stars']",3,2,0,3,0,0
3982,Dr. Gwen Lichtman,['The Shaggy Dog (2006 film)'],,,,,,1,0,0,0,0,0
3983,Baron Von Licktenstamp,,['Mighty Ducks (TV series)'],,,,,0,1,0,0,0,0
3984,Lil' Dipper,['Planes: Fire & Rescue'],,,,,,1,0,0,0,0,0
3985,Lilliput,,['Darkwing Duck'],,,,,0,1,0,0,0,0
3986,Lily,,['Sofia the First'],,,,,0,1,0,0,0,0
3987,Lina,,['Yin Yang Yo!'],,,,,0,1,0,0,0,0
3988,Norman Link,['The Cat from Outer Space'],,,,,,1,0,0,0,0,0
3989,Marcus Little,,['The Suite Life on Deck'],,,,,0,1,0,0,0,0
3990,Lobo,['The Legend of Lobo'],,,,,,1,0,0,0,0,0
3991,Loca,,"[""That's So Raven""]",,,,,0,1,0,0,0,0
3992,Lola Cep,['Confessions of a Teenage Drama Queen'],,,,,,1,0,0,0,0,0
3993,Lorbs,,['Tangled: The Series'],,,,,0,1,0,0,0,0
3994,Lost Boys,"['Peter Pan (film)', 'Return to Never Land', 'The Lion King 1½']","['House of Mouse', 'Once Upon a Time']",,,,"[""Peter Pan's Flight"", ""Mickey's Boo-to-You Halloween Parade""]",3,2,0,2,0,0
3995,Lucinda,['Into the Woods'],['Once Upon a Time'],,,,,1,1,0,0,0,0
